t,agent,neighbor,tau,score,contacts,reputation,self_p
31,S17,S3,0.8603841919146962,1.082729763019823,1,1.0,0.0767574226056959
31,S14,S16,0.9397715966947587,1.0687504024476369,14,0.0,0.02107184583547341
31,S5,S15,0.9169016540164656,1.0520696861000038,12,0.0,0.03124425524026417
31,S5,S16,0.9752487531218751,1.165544189298803,3,0.0,0.03124425524026417
31,S11,S4,0.8702896712767448,1.0022324397407374,13,0.0,0.011651919643430434
31,S2,S7,0.8603841919146962,1.082729763019823,1,0.0,0.09915425921057389
31,S2,S3,0.8943154661839173,1.0294834982674554,12,0.5,0.09915425921057389
31,S2,S15,0.9801495006250001,1.170444936801928,3,1.0,0.09915425921057389
31,S10,S13,0.899334561986716,1.0312773304507088,13,0.0,0.029274925063748302
31,S16,S4,0.8603841919146962,1.082729763019823,1,0.0,0.2330804870208702
31,S16,S17,0.8603841919146962,1.082729763019823,1,0.0,0.2330804870208702
31,S16,S9,0.9023528617034589,1.0342956301674515,13,0.0,0.2330804870208702
31,S16,S5,0.8969727185977133,1.023213857139459,15,0.0,0.2330804870208702
31,S16,S14,0.9763322479400248,1.1398427276177967,6,0.0,0.2330804870208702
31,S15,S14,0.8603841919146962,1.082729763019823,1,1.0,0.30799090110797933
31,S15,S11,0.9606955248058638,1.0843966490127137,16,0.5,0.30799090110797933
31,S15,S2,0.8690529955452602,1.0042210276287984,12,1.0,0.30799090110797933
31,S15,S5,0.9801495006250001,1.1509963684213682,5,0.0,0.30799090110797933
31,S3,S15,0.8603841919146962,1.082729763019823,1,1.0,0.15564278448506963
31,S3,S17,0.8838643597934638,1.019032391877002,12,0.0,0.15564278448506963
31,S3,S7,0.8976949076587638,1.0296376761227566,13,0.0,0.15564278448506963
31,S3,S2,0.9796655307946757,1.1431760104724475,6,0.0,0.15564278448506963
31,S9,S10,0.8603841919146962,0.9866253304564419,15,0.0,0.014051871067239102
31,S9,S8,0.8690900622615011,0.9980688680143793,14,0.0,0.014051871067239102
31,S8,S11,0.8603841919146962,1.082729763019823,1,0.0,0.09093797790186
31,S8,S14,0.8699005390401172,0.9961416775818628,15,0.0,0.09093797790186
31,S8,S6,0.928828655538904,1.0607714240028967,13,0.0,0.09093797790186
31,S8,S9,0.9752487531218751,1.1460956209182434,5,0.0,0.09093797790186
32,S4,S11,0.970913422172891,1.1344239018506628,6,0.0,0.029706717113782456
32,S6,S16,0.8560822709551227,1.0784278420602493,1,1.0,0.3634772090995745
32,S6,S9,0.8560822709551227,1.0784278420602493,1,0.0,0.3634772090995745
32,S6,S8,0.9704809055103012,1.133991385188073,6,0.0,0.3634772090995745
32,S7,S2,0.8560822709551227,1.0784278420602493,1,0.0,0.20889142118947648
32,S7,S3,0.9703725093562657,1.1499600101632679,4,0.5,0.20889142118947648
32,S13,S8,0.8560822709551227,1.0784278420602493,1,0.5,0.1121046465518802
32,S13,S10,0.9949631671704565,1.1658100349668248,5,0.0,0.1121046465518802
32,S17,S5,0.8560822709551227,1.0784278420602493,1,1.0,0.06140593808455672
32,S17,S3,0.8560822709551227,1.0784278420602493,1,1.0,0.06140593808455672
32,S2,S7,0.8560822709551227,1.0784278420602493,1,0.0,0.07932340736845911
32,S2,S3,0.8898438888529977,1.0250119209365358,12,0.5,0.07932340736845911
32,S2,S15,0.9752487531218751,1.1548362539288772,4,0.5,0.07932340736845911
32,S11,S4,0.8659382229203612,0.9978809913843538,13,0.0,0.009321535714744348
32,S5,S15,0.9123171457463833,1.0474851778299215,12,0.0,0.025623301621355912
32,S5,S16,0.9703725093562657,1.1499600101632679,4,0.0,0.025623301621355912
32,S14,S16,0.9350727387112849,1.0640515444641632,14,0.0,0.017722431444984338
32,S10,S13,0.8948378891767824,1.0267806576407752,13,0.0,0.024404340978321976
32,S15,S14,0.8560822709551227,1.0784278420602493,1,1.0,0.24639272088638348
32,S15,S11,0.9558920471818345,1.0795931713886844,16,0.5,0.24639272088638348
32,S15,S2,0.8647077305675338,0.9998757626510719,12,1.0,0.24639272088638348
32,S15,S5,0.9752487531218751,1.138759232799647,6,0.5,0.24639272088638348
32,S16,S4,0.8560822709551227,1.0784278420602493,1,0.0,0.18646438961669617
32,S16,S17,0.8560822709551227,1.0784278420602493,1,0.0,0.18646438961669617
32,S16,S9,0.8978410973949416,1.0297838658589342,13,0.0,0.18646438961669617
32,S16,S5,0.8924878550047247,1.0187289935464703,15,0.0,0.18646438961669617
32,S16,S14,0.9714505867003247,1.1286726477955555,7,0.0,0.18646438961669617
32,S3,S15,0.8560822709551227,1.0784278420602493,1,1.0,0.1307802136110043
32,S3,S17,0.8794450379944965,1.0146130700780347,12,0.0,0.1307802136110043
